,t_statistic,t_p_value,u_statistic,u_p_value,ks_statistic,ks_p_value,wasserstein_distance,natural_mean,generated_mean,natural_std,generated_std
Length,-6.559025130641948,8.428923682095458e-11,42150.0,4.610418955340952e-60,0.80859375,6.694275331543315e-144,21.453125,30.403645833333332,40.0,25.333984724021562,0.0
Charge,-8.958151259569622,1.44258845502797e-18,61148.0,8.06155304665214e-33,0.49552083333333335,8.308042170893833e-49,2.4997646619123053,4.490231256369996,6.528927475738022,3.861114677251612,1.261852085545697
Hydrophobicity,-4.785720383695662,1.943660399725175e-06,109485.0,0.2071787199101307,0.360625,1.7244946766058066e-25,0.2684606850745793,-0.21452661416460228,-0.09757499999999997,0.4206476738201852,0.07361143663642851
Hydrophobic_Moment,-2.031197165473902,0.04248271701373574,106925.0,0.06778272427930968,0.12911458333333334,0.0013384980582858983,0.043184043721960094,0.5969328128870192,0.6212191917191279,0.189776493251153,0.13254927978641262
Instability_Index,3.3124397920295774,0.0009559186286961809,119607.0,0.3307275383977225,0.23682291666666666,4.108600098052139e-11,20.097371993077488,45.712365031863385,37.04456666666666,43.85367025952064,18.25314507019912
Isoelectric_Point,-8.048213786644856,2.2275562634778082e-15,85234.5,3.718863095241533e-11,0.46260416666666665,2.520661505986818e-42,1.5219749902443922,10.81890408218654,11.845925925280898,2.1968627588874754,0.37967296409005036
Aliphatic_Index,-5.4286649400040865,7.028726461104101e-08,78588.5,6.235921095201268e-16,0.48760416666666667,3.3773897058891203e-47,29.655710364948256,78.61666608384003,91.69,41.29860078894951,9.237650166682364
Hydrophilicity,4.785720383695662,1.943660399725175e-06,120915.0,0.2071787199101307,0.360625,1.7244946766058066e-25,0.2684606850745793,0.21452661416460228,0.09757499999999997,0.4206476738201852,0.07361143663642851
AA_A,-7.106353441990892,2.177108780242367e-12,66213.0,4.294331411377327e-28,0.5813020833333333,2.373042274063489e-68,0.05802990876665612,0.06029109643296177,0.08925,0.0697868841265029,0.01670682174971017
AA_C,8.766756877473394,7.140963216152201e-18,141643.5,4.831079004740458e-14,0.30078125,9.532992595207262e-18,0.029834488603448353,0.03291782193678169,0.0030833333333333333,0.05870254876193204,0.008234221085110833
AA_D,-1.4941141969250171,0.13544170579605852,75295.0,7.655452148246571e-21,0.6492708333333334,7.027701730297156e-87,0.026462926864157563,0.021031029685411737,0.02533333333333333,0.049729696287182254,0.005773502691896258
AA_E,-5.86903992401929,5.846895912339346e-09,68993.5,2.64723954047198e-27,0.6691145833333333,7.407413099648373e-93,0.022051821253937776,0.018052882253477814,0.027833333333333325,0.028340506906563034,0.0086923767521255
AA_F,1.5725933774957797,0.11610973909475451,96030.0,1.5778717118276535e-05,0.5005729166666667,7.514769820983062e-50,0.02917654457385395,0.040357556311573374,0.035500000000000004,0.0529107121524779,0.012527561587599708
AA_G,-3.821930624042121,0.00014007148842932717,73887.0,4.708746629567592e-20,0.5160416666666666,3.987691522680452e-53,0.05695514376172836,0.0868765222271507,0.10966666666666663,0.10196146435662068,0.02607018226954785
AA_H,1.8823240994865191,0.06006422062357795,104521.0,0.005711253454081512,0.23958333333333334,2.298383746600556e-11,0.013523317097787996,0.015793073419080265,0.012166666666666666,0.032431164179670346,0.012516432899618716
AA_I,1.2343651327242948,0.21733891346781284,114386.0,0.8565956417558156,0.3673958333333333,1.8370543983262107e-26,0.029295383864671096,0.06044636781389016,0.05641666666666666,0.05591054945023732,0.01334804442062853
AA_K,0.17348430532393527,0.8623036995769455,103586.0,0.009909565902880198,0.446875,2.0554998782090414e-39,0.06090841397507056,0.10287496154712293,0.10183333333333332,0.10274188044618138,0.025471583397152258
AA_L,-3.82675283703976,0.0001373934654344969,66438.5,3.327316525369163e-27,0.5505729166666666,6.889096167914092e-61,0.05525069994582491,0.08789636214761991,0.10616666666666665,0.08167042205097357,0.020535609554009786
AA_M,-3.6879666322343283,0.0002374562195774156,84916.5,1.0025099526751514e-15,0.38421875,5.762812724907272e-29,0.012351189418044667,0.0094380803037537,0.014249999999999999,0.021109796840533497,0.012893472720566271
AA_N,0.8299292275459594,0.40676461436026734,94616.0,2.136627461904197e-06,0.5646354166666666,3.0894302260662074e-64,0.028093111510814298,0.02694715104547013,0.025166666666666664,0.0369941247317984,0.005407064209603782
AA_P,4.984022025555072,7.263294240175623e-07,89731.5,1.2432323200930402e-08,0.5263020833333333,2.2943596378465652e-55,0.09014910000763492,0.10394927381816978,0.06341666666666666,0.14055658746955188,0.013761333628431469
AA_Q,-2.3088586438958703,0.021141976958788847,76109.5,5.702590499575296e-20,0.6566666666666666,4.4821808166422196e-89,0.026738462456218092,0.02132874273261331,0.02583333333333333,0.033593235220856256,0.005722591113507663
AA_R,3.8375500480023206,0.0001315713363480595,98548.5,0.00021671987425775564,0.47182291666666665,4.3747507203800256e-44,0.12052417233407142,0.15193590826098866,0.11474999999999999,0.16746576759868753,0.01664665744266331
AA_S,-6.771300821736468,2.1046513790090255e-11,69769.5,9.638960935661626e-25,0.59859375,8.490817918807754e-73,0.0355082907559047,0.038660774771329814,0.058083333333333334,0.04889318111317978,0.01399031158635025
AA_T,-0.7911966752664177,0.4290052295665442,88812.5,1.3617595792766037e-09,0.5426041666666667,4.863156232728373e-59,0.023755282606162657,0.028610900979976327,0.030499999999999996,0.040572724108949895,0.012726213959349043
AA_V,-4.917624796528249,1.0138667481586194e-06,79296.5,8.728533114558236e-16,0.535,2.610309240479354e-57,0.04160135668089715,0.050806523295017024,0.06674999999999999,0.055596864113630004,0.012464833475766745
AA_W,2.5257278532869396,0.011689877430036025,100909.0,0.0004238791289594814,0.3133854166666667,2.9793395151128996e-19,0.021467525576735196,0.023340426343913936,0.01483333333333333,0.05781393331612673,0.012300809809199387
AA_Y,-0.37851981359719633,0.7051198468053099,87015.0,8.10655349420169e-12,0.47630208333333335,5.89106201722404e-45,0.021528191447524846,0.018444544673696973,0.019166666666666665,0.03236511561875454,0.010591481821704043
